cluster	cell_count	sample_count	n_patients	dominant_sample_id	dominant_sample_fraction	dominant_patient_id	dominant_patient_fraction	Normal_Gastric_count	Normal_Gastric_fraction	Primary_Tumor_count	Primary_Tumor_fraction	Peritoneal_Metastasis_count	Peritoneal_Metastasis_fraction	Normal_Peritoneum_count	Normal_Peritoneum_fraction	top_markers	annotation_review_status	downstream_handling_before_full_approval	cell_type_major	cell_type_minor	cell_state	annotation_confidence	annotation_reason
11	5790	40	29	sample17	0.199827288428325	NGCII509	0.199827288428325	762	0.13160621761658	4651	0.803281519861831	369	0.0637305699481865	8	0.00138169257340242	LILRB5,CCL18,C1QB,C1QC,C1QA,FOLR2,TREM2,SIGLEC1,MS4A4A,F13A1,PLA2G7,MSR1,VSIG4,FPR3,APOC1,MMP9,CD163,SDS,CSF1R,MS4A6A,MRC1,ADAMDEC1,GPNMB,FCGR1A,MS4A7,SPP1,CD14,CMKLR1,SLAMF8,LILRB4	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	Myeloid	C1Q_FOLR2_TREM2_macrophage	C1Q_FOLR2_TREM2_TAM_like	high	C1QA/C1QB/C1QC、CD163/MRC1/CSF1R/MS4A7支持巨噬细胞，FOLR2/TREM2/CCL18/APOC1/SPP1提示肿瘤相关巨噬状态，但不进一步硬分亚型。
12	5088	39	29	sample34	0.136006289308176	NGCII541	0.136006289308176	431	0.0847091194968554	4586	0.901336477987421	71	0.0139544025157233	0	0	VPREB3,MS4A1,BANK1,SPIB,CXCR5,RUBCNL,FCRLA,CD19,BLK,TNFRSF13C,CD22,LY9,TNFRSF13B,HVCN1,CD79A,ARHGAP24,CD83,LY86,CD79B,CCR7,IRF8,NFKBID,POU2F2,RALGPS2,GNG7,CD40,BCAS4,LYN,CD37,HLA-DQA1	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	B/Plasma	Conventional_B_cell	B_cell	high	MS4A1/CD19/CD79A/CD79B/CD22/BANK1成套支持常规B细胞；缺少MZB1/DERL3主导的浆细胞程序。
13	4841	40	29	sample17	0.169593059285272	NGCII509	0.169593059285272	478	0.0987399297665772	4074	0.841561660813881	239	0.0493699648832886	50	0.0103284445362528	S100A12,FCN1,CD300E,EREG,MCEMP1,AQP9,S100A8,S100A9,MIR3945HG,IL1A,CLEC4E,IL1B,IL1RN,LILRA5,OLR1,FPR1,G0S2,CSF3R,CXCL8,TREM1,SMIM25,SLC11A1,CCL3L1,C5AR1,CFP,NLRP3,TLR2,NCF2,BCL2A1,LILRB2	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	Myeloid	FCN1_S100A8_A9_inflammatory_monocyte	inflammatory	high	FCN1/S100A8/S100A9/CD14/LYZ与IL1B/TREM1共同支持炎症性单核细胞，区别于c11的成熟C1Q巨噬细胞程序。
14	4598	37	27	sample39	0.137016093953893	NGCII543	0.137016093953893	362	0.0787298825576338	4230	0.919965202261853	3	0.000652457590256633	3	0.000652457590256633	IGLV2-14,IGLV6-57,IGHA2,IGKV1-5,IGKV3-11,IGKV4-1,IGLL5,SPINK2,IGHA1,LINC02362,IGLV3-1,JSRP1,MZB1,TNFRSF17,FCRL5,DERL3,JCHAIN,TXNDC5,IGKC,LINC01480,POU2AF1,CCR10,PNOC,IGLC2,CPNE5,CD79A,SPAG4,EAF2,GNG7,SDC1	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	high	IGHA1/IGHA2与MZB1/DERL3/JCHAIN/TNFRSF17/IGKC共同支持IGHA-high抗体分泌浆细胞。
15	3710	40	29	sample17	0.102964959568733	NGCII509	0.102964959568733	564	0.152021563342318	2719	0.73288409703504	425	0.11455525606469	2	0.000539083557951483	MYH11,EGFLAM,ENPEP,COX4I2,LGI4,HIGD1B,RGS5,NOTCH3,FAM162B,CNN1,ACTA2,TRPC6,FOXS1,ITGA7,CDH6,HEYL,CSPG4,FRZB,EDNRA,KCNJ8,TAGLN,LMOD1,EFHD1,STEAP4,GJC1,GUCY1A2,PDGFRB,HEY2,GUCY1B1,MYL9	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	Endothelial/Pericyte	Pericyte_smooth_muscle_like	contractile	high	RGS5/NOTCH3/PDGFRB/CSPG4与MYH11/ACTA2/TAGLN/CNN1共同支持周细胞-平滑肌样收缩程序；内皮VWF/PECAM1并不主导。
16	3443	39	29	sample34	0.0851002033110659	NGCII538	0.0906186465291897	987	0.286668602962533	2413	0.700842288701714	42	0.0121986639558525	1	0.000290444379901249	PRR4,BPIFB1,C6orf58,AQP5,REG3A,LTF,MUC6,MIA,LYZ,AC020656.1,MSMB,REG1A,C16orf89,ZG16B,FUT9,FAM3D,LCN2,TFF2,PGC,WFDC2,ADH1C,SLC9A4,CXCL17,SPDEF,PIGR,FMOD,ANKRD22,GOLM1,PPP1R1B,EPHB3	researcher_approved_annotation	保留为F1.5上皮候选；恶性身份等待F1.6；不得仅凭组织来源或亚型marker判定恶性。	Epithelial	Mucous_neck_chief_like_epithelial	MUC6_TFF2_glandular_secretory	medium	EPCAM/KRT8/KRT18/KRT19支持上皮，MUC6/TFF2与PGC/LIPF/PGA3共同提示黏液颈细胞-主细胞样腺体分泌程序；两种分化程序并存，暂不强行拆成单一胃上皮亚型。
17	2703	39	29	sample18	0.132075471698113	NGCII498	0.132075471698113	346	0.128005919348872	2349	0.869034406215316	5	0.00184979652238254	3	0.00110987791342952	CPA3,TPSAB1,GCSAML,MS4A2,TPSB2,SIGLEC6,HPGDS,AL157895.1,TPSD1,KIT,SLC18A2,GATA2,RHEX,RGS13,NTRK1,LTC4S,VWA5A,IL1RL1,MAOB,HDC,SLC45A3,GMPR,P2RX1,ARMH1,ALOX5,MITF,CNRIP1,GALC,BTK,SLC26A2	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	Mast	Mast_cell	mast_cell	high	CPA3/TPSAB1/TPSB2/MS4A2/KIT/HDC为成套肥大细胞marker，谱系清楚且跨样本存在。
18	2369	40	29	sample28	0.148585901224145	NGCII531	0.148585901224145	361	0.152384972562263	1752	0.739552553820177	255	0.107640354579992	1	0.000422119037568594	HSPA6,JUN,HSPA1B,FOS,DUSP1,FOSB,DNAJB1,NR4A1,IER2,HSPA1A,BTG2,HSP90AA1,UBC,HSPH1,PPP1R15A,UBB,HSP90AB1,JUNB,EGR1,HSPA8,GADD45B,DNAJA1,H3F3B,NFKBIA,TSC22D3,CITED2,CD69,MZB1,MALAT1,BRD2	researcher_approved_annotation	保留在全细胞对象；当前证据不纳入F1.5上皮主对象；不得仅因stress-high删除，研究者批准后冻结B/Plasma粗谱系。	B/Plasma	B_or_plasma_like_stress_high	stress_high_likely_dissociation_associated	medium	HSPA6/JUN/FOS/DUSP1/HSPA1A-B提示强应激或解离相关状态；MZB1/IGKC/DERL3/CD79A仍提供B/浆细胞谱系证据。应激是cell_state而不是细胞类型，也不能仅凭应激自动删除真实细胞。
19	2117	39	29	sample35	0.168162494095418	NGCII538	0.184222957014643	882	0.416627302786963	1180	0.557392536608408	55	0.0259801606046292	0	0	MT1H,MT1G,PGA5,PGA4,MT1M,PGC,MT1X,LIPF,MT1F,AZGP1,MT2A,NBPF12,MT1E,PGA3,CXCL17,PDIA2,REG1A,C16orf89,KCNE2,AKR7A3,CRNDE,CA9,FAM3B,TCEA3,SPINK1,TMEM97,KLK11,GPRC5C,PRR15L,PSCA	researcher_approved_annotation	保留为F1.5上皮候选；记录metallothionein-high状态；不得把MT1家族或MT2A解释为线粒体编码基因。	Epithelial	Chief_like_epithelial	metallothionein_high	medium	EPCAM/KRT8/KRT18/KRT19及PGA3/PGA4/PGA5/PGC/LIPF支持胃主细胞样上皮；MT1G/MT1H/MT1X/MT2A为金属硫蛋白和泛氧化应激应答，不是MT-CO/MT-ND等线粒体编码基因，不能据此推断线粒体转录本升高。
20	1754	40	29	sample34	0.100342075256556	NGCII541	0.100342075256556	206	0.117445838084379	1474	0.84036488027366	72	0.0410490307867731	2	0.00114025085518814	CD1E,CD1C,FCER1A,IDO1,PLD4,LAMP3,CLEC10A,CSF2RA,LGALS2,HLA-DQB1,CPVL,HLA-DPB1,HLA-DQA1,CFP,HLA-DRA,HLA-DPA1,PKIB,HLA-DQA2,CD86,HLA-DRB1,CLEC4A,CIITA,RNASE6,HLA-DOA,SPI1,CD74,IFI30,CALHM6,HCK,LST1	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	Myeloid	CD1C_FCER1A_dendritic_cell	antigen_presentation_LAMP3_IDO1	high	CD1C/FCER1A/CD1E/CLEC10A与HLA-DP/DQ/DR共同支持树突细胞，LAMP3/IDO1/CD86提示抗原呈递和成熟/活化状态。
21	1442	35	26	sample25	0.152565880721221	NGCII512	0.161581137309293	749	0.519417475728155	684	0.474341192787795	9	0.00624133148404993	0	0	NEUROD1,GHRL,MIR7-3HG,CHGA,MBOAT4,CHGB,GC,SCGN,RFX6,SCG3,ABCC8,PCSK1,TTR,CAMK2B,CELF3,VWA5B2,FEV,CRYBA2,INSM1,BEX1,FGF14,MS4A8,HEPACAM2,RIMBP2,VSTM2L,PTPRN,SNAP25,SYT4,SCG5,PCSK1N	researcher_approved_annotation	保留为F1.5上皮候选；恶性身份等待F1.6；不得仅凭组织来源或亚型marker判定恶性。	Epithelial	Enteroendocrine_epithelial	neuroendocrine_secretory	high	EPCAM/KRT8/KRT18/KRT19支持上皮背景，CHGA/CHGB/NEUROD1/INSM1/PCSK1/SYP/GHRL为连贯神经内分泌程序，支持胃肠内分泌上皮。
22	1273	37	28	sample17	0.230164964650432	NGCII538	0.311861743912019	353	0.277297721916732	734	0.576590730557738	172	0.135113904163394	14	0.0109976433621367	UPK3B,HP,PRG4,SLPI,ANXA8L1,TGM1,SPRR2F,CALB2,AC245041.2,BNC1,ANXA8,LRRN4,CPA4,ITLN1,DSC3,BCHE,ALDH1A2,RARRES1,OGN,GAS1,SBSPON,CXCL6,FRAS1,CFB,CLDN1,HAS1,CDON,VTN,UPK1B,MGARP	researcher_approved_annotation	保留在全细胞对象并作为Mesothelial独立粗谱系；不进入F1.5上皮主对象；复核DoubletFinder-only富集，但不因其单独删群。	Mesothelial	Mesothelial	mesothelial_ECM_program	medium	UPK3B/LRRN4/MSLN/WT1/PRG4/CALB2/ITLN1形成连贯间皮细胞程序，同时出现角蛋白和ECM基因符合间皮特征而非必然双细胞。DoubletFinder-only为16.3%，但该群跨28位患者且marker内部一致，因此保留为Mesothelial并维持中等置信，不自动删除。
23	628	39	29	sample14	0.0764331210191083	NGCII502	0.0764331210191083	103	0.164012738853503	496	0.789808917197452	29	0.0461783439490446	0	0	CCL20,KLRB1,CCR6,IL7R,CD69,SPOCK2,LTB,S100A4,CD3D,CD2,CD3E,TNF,RORA,HSPA8,TNFAIP3,SRGN,RPLP1,TNFRSF25,CD52,B2M,CD6,ICOS,BTG1,IL32,TPT1,DNAJB1,DNAJA1,EEF1A1,GPR65,BATF	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	T/NK	CCR6_KLRB1_CCL20_CD4_like_T	Th17_like_CCL20_high	medium	CD3D/CD3E/CD3G支持T细胞，CCR6/KLRB1/IL7R/RORA与CCL20高表达提示Th17-like CD4样状态；缺少更完整细胞因子证据，故只作like注释。
24	475	38	29	sample27	0.216842105263158	NGCII510	0.216842105263158	50	0.105263157894737	412	0.867368421052632	13	0.0273684210526316	0	0	RRM2,TYMS,PCLAF,CCNA2,AURKB,CDT1,BIRC5,UHRF1,CDCA5,CDK1,PKMYT1,ZWINT,GTSE1,UBE2C,TOP2A,CLSPN,CENPM,TK1,MKI67,NUSAP1,KIFC1,ASF1B,NCAPH,CCNB2,MAD2L1,UBE2T,GINS2,TPX2,STMN1,CENPU	researcher_approved_annotation	保留在全细胞对象；不进入F1.5上皮主对象；不得仅凭单一状态或DoubletFinder-only标签自动删除。	T/NK	Cycling_T_cell	cycling	medium	MKI67/TOP2A/CDK1/UBE2C等细胞周期基因主导，CD3D/CD3E/CD3G及TRBC1/2仍支持T细胞母谱系；因此命名为Cycling T而不是独立细胞类型。
