dataset_id	file_name	relative_path_under_data_public_downloads	source_url_or_derivation	file_role	exists	file_size_bytes	sha256	read_status	note
SCENIC_hg38_v10	hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	SCENIC_resources/databases/hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	scenic_motif_ranking_database_10kb	TRUE	311298530	9C4026A3A8E25FE07CF96749644E2CA028B787410829B30B9932574DC6E78BDB	not_gzip	F3.3 pySCENIC resource already present
SCENIC_hg38_v10	hg38_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	SCENIC_resources/databases/hg38_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	scenic_motif_ranking_database_500bp	TRUE	312955770	50BD3A2E0DA17BF74AD31B1A2F284EBBACFAD700A07A540A7A1D3DB5E185EAAC	not_gzip	F3.3 pySCENIC resource already present
GSE15459	GSE15459_series_matrix.txt.gz	bulk_GEO/GSE15459/GSE15459_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15459/matrix/GSE15459_series_matrix.txt.gz	bulk_geo_series_matrix	TRUE	42511569	ABDF0D375D30644CBEEDD5A3E0A6ECC806638E7A8D741E5BFE3460C5E8DA7C70	gzip_read_ok	F5/F2.4 external bulk cohort candidate; platform GPL570
GSE66229	GSE66229_series_matrix.txt.gz	bulk_GEO/GSE66229/GSE66229_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66229/matrix/GSE66229_series_matrix.txt.gz	bulk_geo_series_matrix	TRUE	113340046	CFF264857A79011A7A0509F27AD16DFB0226380EC4B346DF3AA7BFC3FC2B10CD	gzip_read_ok	F5 external bulk cohort candidate; platform GPL570
GSE84426	GSE84426_series_matrix.txt.gz	bulk_GEO/GSE84426/GSE84426_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84426/matrix/GSE84426_series_matrix.txt.gz	bulk_geo_series_matrix	TRUE	19811732	191B734860DDA0A0496FDF56E46166A904A0FFA4BE4C66E221EBC09E9F9F0090	gzip_read_ok	F5 external bulk cohort candidate; platform GPL6947
GSE26253	GSE26253_series_matrix.txt.gz	bulk_GEO/GSE26253/GSE26253_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26253/matrix/GSE26253_series_matrix.txt.gz	bulk_geo_series_matrix	TRUE	37949539	B919BE92A87461EC4A19A43BBE4784B6B3C59DD824DF683983C3A3A172A96E20	gzip_read_ok	F5/F2.4 external bulk cohort candidate; platform GPL8432
GSE62254	GSE62254_series_matrix.txt.gz	bulk_GEO/GSE62254/GSE62254_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62254/matrix/GSE62254_series_matrix.txt.gz	bulk_geo_series_matrix	TRUE	85256104	DFD3622A445C0487596E182906E80FBEAF8930AB1ECCA120137DBA6207945145	gzip_read_ok	F5/F2.4 ACRG external bulk cohort candidate; platform GPL570
GSE84437	GSE84437_series_matrix.txt.gz	bulk_GEO/GSE84437/GSE84437_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84437/matrix/GSE84437_series_matrix.txt.gz	bulk_geo_series_matrix	TRUE	130863613	BCB5097075C9EBC11925FECE9A1CE7C0D0C447E8551FAD256337B2460AEB59E7	gzip_read_ok	F5/F2.4 external bulk cohort candidate; platform GPL6947
GPL570	GPL570.annot.gz	bulk_GEO/platform_annotations/GPL570.annot.gz	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL570/annot/GPL570.annot.gz	geo_platform_probe_annotation	TRUE	8471521	D7CD44352127B1E34F3A720EBEA86093EF255A38F1612A85A2962B71BDE8F394	gzip_read_ok	Probe annotation for GPL570 cohorts
GPL6947	GPL6947.annot.gz	bulk_GEO/platform_annotations/GPL6947.annot.gz	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6947/annot/GPL6947.annot.gz	geo_platform_probe_annotation	TRUE	6956785	244C4EF6394ABD8C87309318F3F27E9E63C45D2D1C3E89303818F1F63A290824	gzip_read_ok	Probe annotation for GPL6947 cohorts
GPL8432	GPL8432_HUMANREF-8_V3_0_R1_11282963_A_WGDASL.txt.gz	bulk_GEO/platform_annotations/GPL8432_HUMANREF-8_V3_0_R1_11282963_A_WGDASL.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL8nnn/GPL8432/suppl/GPL8432_HUMANREF-8_V3_0_R1_11282963_A_WGDASL.txt.gz	geo_platform_probe_annotation_suppl	TRUE	10211449	A5271F1C6F0247F7A94E144F1637F8D5299DAF2065523B252958337EFA98591A	gzip_read_ok	Supplemental probe annotation for GPL8432; official annot directory unavailable
TCGA-STAD	TCGA-STAD.survival.tsv.gz	TCGA_STAD/TCGA-STAD.survival.tsv.gz	https://gdc.xenahubs.net/download/TCGA-STAD.survival.tsv.gz	tcga_stad_survival_table	TRUE	3996	E2FBBE163AAE49189CFCEE4B89A7EADEAABB5FB46B6DB7A09C67989EBE3DB86F	gzip_read_ok	Small Xena survival table; expression/clinical matrices returned 403 and were not predownloaded
