evidence_id	cell_type	marker_gene	direction	confidence	reference_source	reference_type	pmid_or_doi	source_url	query_date	tissue_context	disease_context	evidence_note
CMR_016	Enteroendocrine_epithelial	TPH1	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA annotates enteroendocrine cells with CHGA and TPH1.
CMR_017	T_cell	CD3D	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD3D/CD3E/CD3G as canonical T-cell markers.
CMR_018	T_cell	CD3E	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD3D/CD3E/CD3G as canonical T-cell markers.
CMR_019	T_cell	CD3G	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD3D/CD3E/CD3G as canonical T-cell markers.
CMR_020	T_cell_subtype	CD8A	positive	medium	Wang et al. high-stemness gastric cancer scRNA, npj Precision Oncology 2025	gastric_cancer_primary_scRNA_paper	10.1038/s41698-025-01177-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12711953/	2026-05-30	gastric cancer tissue	gastric cancer	npj Precision Oncology gastric cancer scRNA states CD3D and CD8A marked T cells.
CMR_021	Treg	FOXP3	positive	high	Spatial atlas of gastric cancer reveals macrophage-driven stromal activation via ICAM1+ smooth muscle cells, BMC Cancer 2026	gastric_cancer_primary_spatial_scRNA_paper	10.1186/s12885-026-15647-6	https://pmc.ncbi.nlm.nih.gov/articles/PMC13067741/	2026-05-30	gastric cancer tissue microenvironment	gastric cancer	Primary gastric cancer spatial/single-cell atlas annotates regulatory T cells as CD4_Treg with FOXP3, CTLA4 and IL2RA.
CMR_022	Treg	IL2RA	positive	high	Spatial atlas of gastric cancer reveals macrophage-driven stromal activation via ICAM1+ smooth muscle cells, BMC Cancer 2026	gastric_cancer_primary_spatial_scRNA_paper	10.1186/s12885-026-15647-6	https://pmc.ncbi.nlm.nih.gov/articles/PMC13067741/	2026-05-30	gastric cancer tissue microenvironment	gastric cancer	Primary gastric cancer spatial/single-cell atlas annotates regulatory T cells as CD4_Treg with FOXP3, CTLA4 and IL2RA.
CMR_023	NK_cell	NKG7	positive	high	Wang et al. high-stemness gastric cancer scRNA, npj Precision Oncology 2025	gastric_cancer_primary_scRNA_paper	10.1038/s41698-025-01177-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12711953/	2026-05-30	gastric cancer tissue	gastric cancer	npj Precision Oncology gastric cancer scRNA states NKG7 and KLRD1 marked NK cells.
CMR_024	NK_cell	KLRD1	positive	high	Wang et al. high-stemness gastric cancer scRNA, npj Precision Oncology 2025	gastric_cancer_primary_scRNA_paper	10.1038/s41698-025-01177-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12711953/	2026-05-30	gastric cancer tissue	gastric cancer	npj Precision Oncology gastric cancer scRNA states NKG7 and KLRD1 marked NK cells.
CMR_025	NK_cell	GNLY	positive	high	Spatial atlas of gastric cancer reveals macrophage-driven stromal activation via ICAM1+ smooth muscle cells, BMC Cancer 2026	gastric_cancer_primary_spatial_scRNA_paper	10.1186/s12885-026-15647-6	https://pmc.ncbi.nlm.nih.gov/articles/PMC13067741/	2026-05-30	gastric cancer tissue microenvironment	gastric cancer	Primary gastric cancer spatial/single-cell atlas annotates natural killer cells with GNLY, NKG7 and PRF1.
CMR_026	B_cell	MS4A1	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD79A/MS4A1/CD19 as canonical B-cell markers.
CMR_027	B_cell	CD79A	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD79A/MS4A1/CD19 as canonical B-cell markers.
CMR_028	B_cell	CD19	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD79A/MS4A1/CD19 as canonical B-cell markers.
CMR_029	Plasma_cell	MZB1	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used MZB1/IGKC/DERL3 as canonical plasma-cell markers.
CMR_030	Plasma_cell	IGKC	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used MZB1/IGKC/DERL3 as canonical plasma-cell markers.
CMR_031	Plasma_cell	DERL3	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used MZB1/IGKC/DERL3 as canonical plasma-cell markers.
CMR_032	Plasma_cell	JCHAIN	positive	high	Oling et al. human stomach cell type transcriptome atlas, BMC Biology 2024	human_stomach_cell_type_atlas	10.1186/s12915-024-01812-5	https://pmc.ncbi.nlm.nih.gov/articles/PMC10865703/	2026-05-30	human stomach tissue	normal stomach reference	BMC Biology human stomach atlas selected plasma-cell panel IGKC/JCHAIN/IGLC1 with high within-panel correlation and low cross-panel correlation.
CMR_033	Myeloid	CD14	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD14/MS4A7/FCGR3A/LYZ as myeloid markers.
CMR_034	Myeloid	LYZ	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD14/MS4A7/FCGR3A/LYZ as myeloid markers.
CMR_035	Myeloid	MS4A7	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD14/MS4A7/FCGR3A/LYZ as myeloid markers.
CMR_036	Myeloid	FCGR3A	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CD14/MS4A7/FCGR3A/LYZ as myeloid markers.
CMR_037	Myeloid	CD68	positive	high	Wang et al. high-stemness gastric cancer scRNA, npj Precision Oncology 2025	gastric_cancer_primary_scRNA_paper	10.1038/s41698-025-01177-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12711953/	2026-05-30	gastric cancer tissue	gastric cancer	npj Precision Oncology gastric cancer scRNA states CD68 and CD163 marked macrophages/myeloid cells.
CMR_038	Macrophage	CD163	positive	high	Wang et al. high-stemness gastric cancer scRNA, npj Precision Oncology 2025	gastric_cancer_primary_scRNA_paper	10.1038/s41698-025-01177-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12711953/	2026-05-30	gastric cancer tissue	gastric cancer	npj Precision Oncology gastric cancer scRNA states CD68 and CD163 marked macrophages.
CMR_039	Macrophage	MRC1	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA annotates macrophages with CD68/CD163/MRC1.
CMR_040	Macrophage	CSF1R	positive	medium	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA lists myeloid cells with CD68 and CSF1R.
CMR_041	Dendritic_cell	CD1C	positive	high	Wang et al. high-stemness gastric cancer scRNA, npj Precision Oncology 2025	gastric_cancer_primary_scRNA_paper	10.1038/s41698-025-01177-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12711953/	2026-05-30	gastric cancer tissue	gastric cancer	npj Precision Oncology gastric cancer scRNA states CD1C/FCER1A/CLEC9A were enriched in dendritic cells.
CMR_042	Dendritic_cell	FCER1A	positive	high	Wang et al. high-stemness gastric cancer scRNA, npj Precision Oncology 2025	gastric_cancer_primary_scRNA_paper	10.1038/s41698-025-01177-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12711953/	2026-05-30	gastric cancer tissue	gastric cancer	npj Precision Oncology gastric cancer scRNA states CD1C/FCER1A/CLEC9A were enriched in dendritic cells.
CMR_043	Dendritic_cell	CLEC9A	positive	high	Wang et al. high-stemness gastric cancer scRNA, npj Precision Oncology 2025	gastric_cancer_primary_scRNA_paper	10.1038/s41698-025-01177-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12711953/	2026-05-30	gastric cancer tissue	gastric cancer	npj Precision Oncology gastric cancer scRNA states CD1C/FCER1A/CLEC9A were enriched in dendritic cells.
CMR_044	Dendritic_cell	LAMP3	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA annotates cDC/mature DC subsets using XCR1/CLEC9A and LAMP3.
CMR_045	Dendritic_cell	XCR1	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA annotates cDC/mature DC subsets using XCR1/CLEC9A and LAMP3.
CMR_046	Mast_cell	TPSAB1	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA lists mast cells with TPSAB1 and TPSB2.
CMR_047	Mast_cell	TPSB2	positive	high	Single-cell transcriptomic profiling of gastric tumorigenesis associated with H. pylori, Journal of Advanced Research 2025	gastric_tumorigenesis_primary_scRNA_paper	10.1016/j.jare.2024.10.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC12302424/	2026-05-30	gastric cancer tissue	gastric cancer	Journal of Advanced Research gastric tumorigenesis scRNA lists mast cells with TPSAB1 and TPSB2.
CMR_048	Mast_cell	CPA3	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CPA3/MS4A2 with TPSAB1 as mast-cell markers.
CMR_049	Mast_cell	MS4A2	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used CPA3/MS4A2 with TPSAB1 as mast-cell markers.
CMR_050	Fibroblast	COL1A1	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used COL1A1/COL1A2/DCN as stromal/fibroblast markers.
CMR_051	Fibroblast	COL1A2	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used COL1A1/COL1A2/DCN as stromal/fibroblast markers.
CMR_052	Fibroblast	DCN	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used COL1A1/COL1A2/DCN as stromal/fibroblast markers.
CMR_053	Fibroblast	LUM	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas identifies LUM-associated fibroblast states.
CMR_054	CAF	FAP	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas reports cancer-associated fibroblast subpopulations with high INHBA and FAP coexpression.
CMR_055	CAF	INHBA	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas reports cancer-associated fibroblast subpopulations with high INHBA and FAP coexpression.
CMR_056	CAF	CTHRC1	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas lists this gene among sublineage-specific CAF marker genes in fibroblast clusters.
CMR_057	CAF	COL8A1	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas lists this gene among sublineage-specific CAF marker genes in fibroblast clusters.
CMR_058	CAF	THBS2	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas lists this gene among sublineage-specific CAF marker genes in fibroblast clusters.
CMR_059	CAF	S100A4	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas lists this gene among sublineage-specific CAF marker genes in fibroblast clusters.
CMR_060	CAF	ASPN	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas lists this gene among sublineage-specific CAF marker genes in fibroblast clusters.
CMR_061	Endothelial	VWF	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used VWF/PECAM1/ENG as endothelial-cell markers.
CMR_062	Endothelial	PECAM1	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used VWF/PECAM1/ENG as endothelial-cell markers.
CMR_063	Endothelial	ENG	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA atlas used VWF/PECAM1/ENG as endothelial-cell markers.
CMR_064	Pericyte	RGS5	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas defines pericytes by RGS5 and NOTCH3.
CMR_065	Pericyte	NOTCH3	positive	high	Kumar et al. gastric cancer lineage/TME atlas, Cancer Discovery 2022	gastric_cancer_primary_scRNA_paper	10.1158/2159-8290.CD-21-0683	https://pmc.ncbi.nlm.nih.gov/articles/PMC9394383/	2026-05-30	gastric cancer tissue	gastric cancer	Cancer Discovery gastric cancer atlas defines pericytes by RGS5 and NOTCH3.
CMR_066	Smooth_muscle_cell	ACTA2	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA and stromal analysis include ACTA2-positive smooth-muscle/stromal programs.
CMR_067	Smooth_muscle_cell	MYH11	positive	high	Hu et al. ovarian/peritoneal metastasis gastric cancer scRNA, Nature Communications 2024	gastric_cancer_primary_scRNA_paper	10.1038/s41467-024-52615-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443007/	2026-05-30	gastric cancer tissue	gastric cancer	Nature Communications gastric cancer metastasis scRNA and stromal analysis include MYH11-positive smooth muscle cells.
