dataset_id	source_file	field_name	field_category	n_records_checked	unique_values_summary	missing_count	missing_rate	example_values	usable_for_F_section	interpretation_risk	note
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	relation	sample_metadata	40	<empty>:1|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385749:1|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385761:1|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385762:1|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385763:1|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385764:1|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385765:1|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385766:1|...plus_32_more	1	0.025	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385761|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385762|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385763|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385764|BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21385765	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE183904	data/public_downloads/GEO_metadata/GSE183904_series_matrix.txt.gz	supplementary_file_1	sample_metadata	40	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573466/suppl/GSM5573466_sample1.csv.gz:1|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573467/suppl/GSM5573467_sample2.csv.gz:1|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573468/suppl/GSM5573468_sample3.csv.gz:1|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573469/suppl/GSM5573469_sample4.csv.gz:1|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573470/suppl/GSM5573470_sample5.csv.gz:1|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573471/suppl/GSM5573471_sample6.csv.gz:1|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573472/suppl/GSM5573472_sample7.csv.gz:1|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573473/suppl/GSM5573473_sample8.csv.gz:1|...plus_32_more	0	0.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573466/suppl/GSM5573466_sample1.csv.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573467/suppl/GSM5573467_sample2.csv.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573468/suppl/GSM5573468_sample3.csv.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573469/suppl/GSM5573469_sample4.csv.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5573nnn/GSM5573470/suppl/GSM5573470_sample5.csv.gz	F0,F1	low	Current public matrix files do not provide cell-level metadata.
GSE206785	data/public_downloads/GSE206785/GSE206785_metadata.txt.gz	Sample	cell_metadata	111140	180308T:10886|181019N:10658|180124T:9213|181227N:5985|180124N:5870|180123N:5442|180606T:5077|180123T:4527|180118T:4300|190103N:3465	0		180308T:10886|181019N:10658|180124T:9213|181227N:5985|180124N:5870|180123N:5442|180606T:5077|180123T:4527|180118T:4300|190103N:3465	F2_external_sc_validation_after_approval	processed_external_scRNA_no_PM_group	111140 expression cell IDs are unique; cell-ID sample suffix matches metadata Sample row-by-row with 0 mismatches and per-sample counts agree; repeat after server transfer as an integrity check
GSE206785	data/public_downloads/GSE206785/GSE206785_metadata.txt.gz	Patient	cell_metadata	111140	P180124:15083|P181019:13010|P180308:11369|P180123:9969|P181227:7478|P180118:5914|P180606:5091|P190103:4824|P190124:4824|P190118:4796	0		P180124:15083|P181019:13010|P180308:11369|P180123:9969|P181227:7478|P180118:5914|P180606:5091|P190103:4824|P190124:4824|P190118:4796	F2_external_sc_validation_after_approval	section_specific_review_required	processed expression is available, but patient remains the independent unit for group-level inference
GSE206785	data/public_downloads/GSE206785/GSE206785_metadata.txt.gz	Tissue	cell_metadata	111140	Tumor:63252|Normal:47888	0		Tumor:63252|Normal:47888	F2_external_sc_validation_after_approval	section_specific_review_required	Tumor versus matched Normal is available; no peritoneal-metastasis group was found
GSE206785	data/public_downloads/GSE206785/GSE206785_metadata.txt.gz	Platform	cell_metadata	111140	SC3P:67174|SC5P:43966	0		SC3P:67174|SC5P:43966	F2_external_sc_validation_after_approval	section_specific_review_required	SC3P/SC5P platform effects must be audited before integration or score comparison
GSE206785	data/public_downloads/GSE206785/GSE206785_metadata.txt.gz	Subtype	cell_metadata	111140	P02:6578|P01:4690|T13:3727|T14:3282|T15:3209|T16:2848|I01:2658|P04:2592|T17:2494|T18:2406	0		P02:6578|P01:4690|T13:3727|T14:3282|T15:3209|T16:2848|I01:2658|P04:2592|T17:2494|T18:2406	F2_external_sc_validation_after_approval	section_specific_review_required	author subtype labels are available as reference evidence, not immutable ground truth
GSE206785	data/public_downloads/GSE206785/GSE206785_metadata.txt.gz	Type	cell_metadata	111140	CD8+ T:31705|Plasma:16883|Fibroblast:13597|CD4+ T:12905|Myeloid:10546|B:7332|Epithelial:7210|Endothelial:3684|Mural:2895|Innate lymphoid:2658	0		CD8+ T:31705|Plasma:16883|Fibroblast:13597|CD4+ T:12905|Myeloid:10546|B:7332|Epithelial:7210|Endothelial:3684|Mural:2895|Innate lymphoid:2658	F2_external_sc_validation_after_approval	section_specific_review_required	author Type labels can define the initial epithelial candidate subset, followed by study-specific validation
GSE206785	data/public_downloads/GSE206785/GSE206785_metadata.txt.gz	Annotation	cell_metadata	111140	P02_Plasma_IgAκ:6578|P01_Plasma_IgAλ:4690|T13_CD8_Naïve-IL7R-normal:3727|T14_CD8_EM-GZMK:3282|T15_CD8_Eff-GNLY:3209|T16_CD8_UnIdent-tumor:2848|I01_NK_FCGR3A:2658|P04_Plasma_IgGκ:2592|T17_CD8_Naïve-IL7R:2494|T18_CD8_IEL-CD160:2406	0		P02_Plasma_IgAκ:6578|P01_Plasma_IgAλ:4690|T13_CD8_Naïve-IL7R-normal:3727|T14_CD8_EM-GZMK:3282|T15_CD8_Eff-GNLY:3209|T16_CD8_UnIdent-tumor:2848|I01_NK_FCGR3A:2658|P04_Plasma_IgGκ:2592|T17_CD8_Naïve-IL7R:2494|T18_CD8_IEL-CD160:2406	F2_external_sc_validation_after_approval	section_specific_review_required	author Annotation labels are available for concordance checks; disagreement with de novo evidence must be reported rather than forced
GSE15459	GSE15459_series_matrix.txt.gz	characteristics_keys	clinical	200	tissue				F2.4,F5_after_dataset_specific_audit	processed_microarray_scale_and_endpoint_audit_required	processed matrix scale unclear/large; audit GEO processing and transformation before any model
GSE26253	GSE26253_series_matrix.txt.gz	characteristics_keys	clinical	432	status (0=non-recurrence, 1=recurrence)|recurrence free survival time (month)|pathological stage			status (0=non-recurrence, 1=recurrence):status (0=non-recurrence, 1=recurrence): 0|status (0=non-recurrence, 1=recurrence): 1|status (0=non-recurrence, 1=recurrence): 0|status (0=non-recurrence, 1=recurrence): 0|status (0=non-recurrence, 1=recurrence): 0 || recurrence free survival time (month):recurrence free survival time (month): 163.1|recurrence free survival time (month): 23.1|recurrence free survival time (month): 21.4|recurrence free survival time (month): 124.6|recurrence free survival time (month): 155.3 || pathological stage:pathological stage: 2|pathological stage: 3A|pathological stage: 3A|pathological stage: 2|pathological stage: 3A	F2.4,F5_after_dataset_specific_audit	processed_microarray_scale_and_endpoint_audit_required	processed microarray/log-like expression; use probe mapping + limma/Cox/KM within cohort; do not use count models
GSE62254	GSE62254_series_matrix.txt.gz	characteristics_keys	clinical	300	tissue|patient				F2.4,F5_after_dataset_specific_audit	processed_microarray_scale_and_endpoint_audit_required	processed microarray/log-like expression; use probe mapping + limma/Cox/KM within cohort; do not use count models
GSE66229	GSE66229_series_matrix.txt.gz	characteristics_keys	clinical	400	tissue|patient				F2.4,F5_after_dataset_specific_audit	processed_microarray_scale_and_endpoint_audit_required	processed microarray/log-like expression; use probe mapping + limma/Cox/KM within cohort; do not use count models
GSE84426	GSE84426_series_matrix.txt.gz	characteristics_keys	clinical	76	tissue|age|Sex|ptstage|pnstage|death|duration overall survival			ptstage:ptstage: T3|ptstage: T4|ptstage: T4|ptstage: T3|ptstage: T4 || pnstage:pnstage: N1|pnstage: N3|pnstage: N1|pnstage: N2|pnstage: N0 || death:death: 1|death: 1|death: 1|death: 1|death: 1 || duration overall survival:duration overall survival: 70|duration overall survival: 23|duration overall survival: 24|duration overall survival: 59|duration overall survival: 12	F2.4,F5_after_dataset_specific_audit	processed_microarray_scale_and_endpoint_audit_required	processed matrix scale unclear/large; audit GEO processing and transformation before any model
GSE84437	GSE84437_series_matrix.txt.gz	characteristics_keys	clinical	483	tissue|age|Sex|ptstage|pnstage|death|duration overall survival			ptstage:ptstage: T3|ptstage: T4|ptstage: T4|ptstage: T3|ptstage: T4 || pnstage:pnstage: N1|pnstage: N3|pnstage: N1|pnstage: N2|pnstage: N0 || death:death: 1|death: 1|death: 1|death: 1|death: 1 || duration overall survival:duration overall survival: 70|duration overall survival: 23|duration overall survival: 24|duration overall survival: 59|duration overall survival: 12	F2.4,F5_after_dataset_specific_audit	processed_microarray_scale_and_endpoint_audit_required	processed matrix scale unclear/large; audit GEO processing and transformation before any model
GSE239676	data/public_downloads/GSE239676/GSE239676_meta.tsv.gz	Sample,Patient,Tissue,HPinfec	cell_metadata_structure_preaudit	222240	fields=Sample,Patient,Tissue,HPinfec; patients=20; samples=68; tissues=Ad,As,Li,Ov,P,PB,PBMC; metadata/GEO mapping=As_or_PB_to_PC,Li_to_LM,Ov_to_OM; matrix=8630x222240; features=8630; barcodes=222240; metadata_rows=222240; patients=20; metadata_samples=68; tissues=Ad,As,Li,Ov,P,PB,PBMC; GEO_samples=68; peritoneal_in_GEO=True; liver_in_GEO=True	not_scanned_in_lightweight_preaudit		Pt01_Ad|Pt01|Ad|Negative|Pt01_Ad|Pt01|Ad|Negative|Pt01_Ad|Pt01|Ad|Negative|Pt01_Ad|Pt01|Ad|Negative|Pt01_Ad|Pt01|Ad|Negative	F2.4_after_signature_freeze_and_cohort_approval	external_validation_isolation_required	Structure only; no expression values or biological outcomes were inspected.
