file_name	relative_path_if_available	dataset_id	file_role	data_domain	source_type	source_url_or_local_manifest	file_size_bytes	sha256	compression_format	read_status	availability_status	used_in_F0	planned_F_section_use	audit_status	artifact_class	publication_destination	review_priority	note
GSE239676_series_matrix.txt.gz		GSE239676	geo_series_matrix_metadata	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE239nnn/GSE239676/matrix/GSE239676_series_matrix.txt.gz	6061	332449EDF40DB7B80C76BAEEFD4A1D3FBC533BBCC02AC3C7EBE789189CDB3B4A	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Metadata only for external single-cell validation dataset; supplementary matrix remains pending.
GSE239676_suppl_listing.html		GSE239676	geo_supplementary_listing	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE239nnn/GSE239676/suppl/	890	8915E6E6224BFB95304B3F32C8B58BF7952BD79DE9A7FBBBF25EE5600C35B908	html	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Listing confirms available supplementary files and sizes.
GSE239676_barcodes.tsv.gz		GSE239676	external_sc_validation_barcode_file_partial_dataset	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE239nnn/GSE239676/suppl/GSE239676_barcodes.tsv.gz	5646427	0CCC4A623061FA62D1AC4D60D6E234980A7DD82D8F3CB221DD9FA065A76189EF	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	One downloaded component; full GSE239676 matrix remains pending until dedicated manifest passes.
gencode.v44.basic.annotation.gtf.gz		GENCODE_GRCh38_v44	infercnv_gene_order_source_gtf	mixed	researcher_provided_local	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_44/gencode.v44.basic.annotation.gtf.gz	29570410	3E52F82C63F8FD860BF632CCDE10441C05751F4C342AD08C0A98E9E2700171A5	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Source GTF for derived hg38 gene order
infercnv_gene_order_hg38_gencode_v44_gene_symbols_all_standard_chromosomes.tsv		GENCODE_GRCh38_v44	derived_infercnv_gene_order_all_standard_chromosomes	mixed	researcher_provided_local	derived_from:gencode.v44.basic.annotation.gtf.gz	6061529	994A9B9D3AD287FCC817C49A11120C78DBAD767065FAAC84E77166BF35514DD4	tsv	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Generated locally from GENCODE v44 basic gene features; includes chr1-22, chrX, chrY, chrM
infercnv_gene_order_hg38_gencode_v44_gene_symbols_chr1_22.tsv		GENCODE_GRCh38_v44	derived_infercnv_gene_order_chr1_22_main	mixed	researcher_provided_local	derived_from:gencode.v44.basic.annotation.gtf.gz	5764109	99C7BB8EAB7B46F7A278A3C929B4F892AE1C64590F36D2B67C7D5DF7BD6B9638	tsv	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Generated locally from GENCODE v44; recommended main inferCNV autosome gene_order candidate
infercnv_gene_order_hg38_gencode_v44_duplicate_gene_symbols.tsv		GENCODE_GRCh38_v44	derived_gene_order_duplicate_symbol_report	mixed	researcher_provided_local	derived_from:gencode.v44.basic.annotation.gtf.gz	29294	E87792AF524094A8CA52C17D3563CAA21B89CAB3A716B3727D47F0E392579854	tsv	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Cross-chromosome duplicated gene symbols excluded from derived gene_order
GSE15459_series_matrix.txt.gz		GSE15459	bulk_geo_series_matrix	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15459/matrix/GSE15459_series_matrix.txt.gz	42511569	ABDF0D375D30644CBEEDD5A3E0A6ECC806638E7A8D741E5BFE3460C5E8DA7C70	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	F5/F2.4 external bulk cohort candidate; platform GPL570
GSE66229_series_matrix.txt.gz		GSE66229	bulk_geo_series_matrix	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66229/matrix/GSE66229_series_matrix.txt.gz	113340046	CFF264857A79011A7A0509F27AD16DFB0226380EC4B346DF3AA7BFC3FC2B10CD	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	F5 external bulk cohort candidate; platform GPL570
GSE84426_series_matrix.txt.gz		GSE84426	bulk_geo_series_matrix	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84426/matrix/GSE84426_series_matrix.txt.gz	19811732	191B734860DDA0A0496FDF56E46166A904A0FFA4BE4C66E221EBC09E9F9F0090	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	F5 external bulk cohort candidate; platform GPL6947
GSE26253_series_matrix.txt.gz		GSE26253	bulk_geo_series_matrix	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26253/matrix/GSE26253_series_matrix.txt.gz	37949539	B919BE92A87461EC4A19A43BBE4784B6B3C59DD824DF683983C3A3A172A96E20	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	F5/F2.4 external bulk cohort candidate; platform GPL8432
GSE62254_series_matrix.txt.gz		GSE62254	bulk_geo_series_matrix	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62254/matrix/GSE62254_series_matrix.txt.gz	85256104	DFD3622A445C0487596E182906E80FBEAF8930AB1ECCA120137DBA6207945145	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	F5/F2.4 ACRG external bulk cohort candidate; platform GPL570
GSE84437_series_matrix.txt.gz		GSE84437	bulk_geo_series_matrix	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84437/matrix/GSE84437_series_matrix.txt.gz	130863613	BCB5097075C9EBC11925FECE9A1CE7C0D0C447E8551FAD256337B2460AEB59E7	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	F5/F2.4 external bulk cohort candidate; platform GPL6947
GPL570.annot.gz		GPL570	geo_platform_probe_annotation	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL570/annot/GPL570.annot.gz	8471521	D7CD44352127B1E34F3A720EBEA86093EF255A38F1612A85A2962B71BDE8F394	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Probe annotation for GPL570 cohorts
GPL6947.annot.gz		GPL6947	geo_platform_probe_annotation	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6947/annot/GPL6947.annot.gz	6956785	244C4EF6394ABD8C87309318F3F27E9E63C45D2D1C3E89303818F1F63A290824	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Probe annotation for GPL6947 cohorts
GPL8432_HUMANREF-8_V3_0_R1_11282963_A_WGDASL.txt.gz		GPL8432	geo_platform_probe_annotation_suppl	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL8nnn/GPL8432/suppl/GPL8432_HUMANREF-8_V3_0_R1_11282963_A_WGDASL.txt.gz	10211449	A5271F1C6F0247F7A94E144F1637F8D5299DAF2065523B252958337EFA98591A	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Supplemental probe annotation for GPL8432; official annot directory unavailable
TCGA-STAD.survival.tsv.gz		TCGA-STAD	tcga_stad_survival_table	mixed	researcher_provided_local	https://gdc.xenahubs.net/download/TCGA-STAD.survival.tsv.gz	3996	E2FBBE163AAE49189CFCEE4B89A7EADEAABB5FB46B6DB7A09C67989EBE3DB86F	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	Small Xena survival table; must be reconciled with downloaded TCGA expression/clinical/CNV resources by barcode before survival or multiomics analysis; does not replace expression, clinical, mutation, CNV or methylation audit.
TCGA-STAD.star_counts.tsv.gz		TCGA-STAD	xena_star_counts_expression	mixed	researcher_provided_local	https://gdc-hub.s3.us-east-1.amazonaws.com/download/TCGA-STAD.star_counts.tsv.gz	57991361	0DAD0CC6DC8681FC473A5DE1ABB62998FCC7D9DB80E295C9D4E77FEF98E4EBD5	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=gzip_read_ok; full-stream inverse validation PASS in results/F0_audit/TCGA_STAD_star_counts_inverse_validation.tsv: 27175680/27175680 numeric values satisfy round(2^x-1) integer reconstruction at tolerance 1e-6, max error 8.381903171539307e-09. Stored values remain log2(count+1), not directly stored integers. Reconstructed integer counts are allowed for DESeq2 VST for WGCNA after F7 gene/sample audit; this is not blanket authorization for DESeq2 differential expression.
TCGA-STAD.star_tpm.tsv.gz		TCGA-STAD	xena_star_tpm_expression	mixed	researcher_provided_local	https://gdc-hub.s3.us-east-1.amazonaws.com/download/TCGA-STAD.star_tpm.tsv.gz	147329295	6C0D00FE28A25E1FD41905F9C818EC39BD6F15694F85BDE4609A1522ADDE665C	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=gzip_read_ok; audit_decision=downloaded_readable_use_after_section_specific_audit; sample barcode and gene symbol mapping must be audited; do not mix sample-level and patient-level records TPM suitable candidate for normalized expression scoring/correlation after log/normalization decision; not for count models
data_clinical_patient.txt		TCGA-STAD PanCancer Atlas 2018	cbioportal_pancan_clinical_patient	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	134386	E92ACFD65317E19E8682460999F984F6B57D340DC38ED184BCE3B6FA8411A4D5	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=downloaded_readable_use_after_section_specific_audit; processed cBioPortal PanCancer clinical annotations; must reconcile with Xena/GDC barcodes and survival endpoints usable for subtype/MSI/clinical covariates after sample matching audit
data_clinical_sample.txt		TCGA-STAD PanCancer Atlas 2018	cbioportal_pancan_clinical_sample	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	93194	E082F706BBBB5FF1104389B93CDC852F9DD31019B0BCF4AFCBF7D7654CB2ACE1	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=downloaded_readable_use_after_section_specific_audit; processed cBioPortal PanCancer clinical annotations; must reconcile with Xena/GDC barcodes and survival endpoints usable for subtype/MSI/clinical covariates after sample matching audit
data_cna.txt		TCGA-STAD PanCancer Atlas 2018	cbioportal_gistic_discrete_cna	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	24627999	4780337064E69C0F1D68A1338FB5560163479674D4328D3339E8601AA93E742D	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=downloaded_readable_use_after_section_specific_audit; processed cBioPortal source; CNV interpretation must cite GISTIC/log2 CNA profile metadata and match samples to expression; not raw segment-level evidence usable candidate for F7 CNV event and cis-CNV expression analysis after sample matching audit
data_log2_cna.txt		TCGA-STAD PanCancer Atlas 2018	cbioportal_log2_cna	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	68743156	75DE2036E7FA12025A32176A5D7FC0639472A4371D19CF20FB7A00F098630FA2	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=downloaded_readable_use_after_section_specific_audit; processed cBioPortal source; CNV interpretation must cite GISTIC/log2 CNA profile metadata and match samples to expression; not raw segment-level evidence usable candidate for F7 CNV event and cis-CNV expression analysis after sample matching audit
meta_cna.txt		TCGA-STAD PanCancer Atlas 2018	cbioportal_metadata_or_readme	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	445	EEFDECD8334A9B3AA8CC65B6C9489508E7D57C30569A74802E22121B2056A251	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=metadata_available; metadata only supports interpretation of cBioPortal processed tables
meta_log2_cna.txt		TCGA-STAD PanCancer Atlas 2018	cbioportal_metadata_or_readme	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	332	7A7D521AECDE91FA86FC89C925E101E2C2A9529E412F0C6182706B4B7EED0B36	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=metadata_available; metadata only supports interpretation of cBioPortal processed tables
meta_clinical_patient.txt		TCGA-STAD PanCancer Atlas 2018	cbioportal_metadata_or_readme	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	158	3A2D3C68ACC9D1B78EE5BBF98B7D23D4B2E8AA6D6A42DD8B471662C84112D861	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=metadata_available; metadata only supports interpretation of cBioPortal processed tables
meta_clinical_sample.txt		TCGA-STAD PanCancer Atlas 2018	cbioportal_metadata_or_readme	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	156	F732DE58E7953606BACE58391EC4D8032922B933935FF9D9DAE20979AAE6ABD1	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=metadata_available; metadata only supports interpretation of cBioPortal processed tables
meta_study.txt		TCGA-STAD PanCancer Atlas 2018	cbioportal_metadata_or_readme	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	594	43A3342C22833E5B23C3B1E3BA556484041C49CAD930195FE236455CBB95A926	txt	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=metadata_available; metadata only supports interpretation of cBioPortal processed tables
README.md		TCGA-STAD PanCancer Atlas 2018	cbioportal_metadata_or_readme	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/tree/master/public/stad_tcga_pan_can_atlas_2018	1541	7969716B3516AB0D994EFA9DEE8D19CBA42EFE1E48AB476A3ABA9062D54B56E6	md	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=plain_text_read_ok; audit_decision=metadata_available; metadata only supports interpretation of cBioPortal processed tables
data_mutations.txt.git_lfs_pointer_not_data		TCGA-STAD PanCancer Atlas 2018	cbioportal_mutation_lfs_pointer_not_maf	mixed	researcher_provided_local	https://github.com/cBioPortal/datahub/blob/master/public/stad_tcga_pan_can_atlas_2018/data_mutations.txt	134	ABE127B35CD4957C00008ACC55F747EE4ABC16E212E5F7B5FFD2B648D01F8564	git_lfs_pointer_not_data	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=failed_lfs_pointer_only; read_status=not_real_data_git_lfs_pointer; audit_decision=not_usable_pending_redownload_or_api; Not a usable mutation MAF; full LFS download failed locally. For F7 TMB/full mutation analysis, use server-side cBioPortal/GDC download or API after F7 plan approval. not usable for TMB or mutation burden; gene-specific mutation queries may use cBioPortal API later
TCGA-STAD.GDC_cases_clinical.json		TCGA-STAD	gdc_cases_clinical_json	mixed	researcher_provided_local	https://api.gdc.cancer.gov/cases	3655827	D132CC975164F85DB25692B23592418F9CA6BC9472FBA31C9B6C668D3A76AFCB	json	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=json_or_tsv_read_ok; audit_decision=downloaded_readable_use_after_section_specific_audit; case count differs from Xena survival and cBioPortal PanCancer samples; requires barcode harmonization before survival/clinical models usable for patient/sample metadata audit and covariate availability after reconciliation
TCGA-STAD.GDC_cases_clinical_flattened.tsv		TCGA-STAD	gdc_cases_clinical_flattened	mixed	researcher_provided_local	https://api.gdc.cancer.gov/cases	107713	8D4BEA48E9087821E17539610D8205816739AE0690C74DF33A89130B4AC4056E	tsv	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=json_or_tsv_read_ok; audit_decision=downloaded_readable_use_after_section_specific_audit; case count differs from Xena survival and cBioPortal PanCancer samples; requires barcode harmonization before survival/clinical models usable for patient/sample metadata audit and covariate availability after reconciliation
gdc_masked_somatic_mutation_manifest.tsv		TCGA-STAD	gdc_masked_somatic_mutation_manifest	mixed	researcher_provided_local	https://api.gdc.cancer.gov/files or https://api.gdc.cancer.gov/data	149499	0ED28720681C91C82D390A692B3BE085A2018A0D1285E94FC44FDCF57206455B	tsv	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=readable_metadata; audit_decision=metadata_available; manifest only, not mutation data useful for planning GDC redownload
TCGA-STAD.masked_somatic_mutation_gdc_files.tar.gz.failed_integrity		TCGA-STAD	gdc_masked_somatic_mutation_tar_failed	mixed	researcher_provided_local	https://api.gdc.cancer.gov/files or https://api.gdc.cancer.gov/data	11493376	A3F159964EE042185BD5CDB9CA6651A53C2D1C4E5A902FB1EB39EF026CB11A60	failed_integrity	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=failed_integrity_check; read_status=tarfile_integrity_failed; audit_decision=superseded_failed_artifact_do_not_use; superseded by TCGA-STAD.masked_somatic_mutation.verified_maf_files.tar
gdc_masked_somatic_mutation_batch_download_summary.json		TCGA-STAD	gdc_masked_somatic_mutation_batch_summary	mixed	researcher_provided_local	https://api.gdc.cancer.gov/files or https://api.gdc.cancer.gov/data	2582	63BA32C6571D97BEF59CBC59D16FAD1DE3352232CD1EE190EDCF282C2B6C4A7C	json	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=failed_integrity_check; read_status=readable_metadata; audit_decision=not_usable_pending_redownload; all attempted batches failed integrity check not usable as mutation table unless redownloaded and integrity-verified
GSE206785_series_matrix.txt.gz		GSE206785	geo_series_matrix_metadata	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206785/	4394	3F5A80A549229B1E4E65534F2446A6D69EF59B03CFCDE0CBD338B2C32B7032CF	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=gzip_read_ok; audit_decision=metadata_available; metadata only supports metadata reconnaissance only
GSE206785_metadata.txt.gz		GSE206785	geo_cell_metadata	mixed	researcher_provided_local	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206785/	118418	E9019A23116E7A6C6B17FFECA989887B4374E814804FA328574A625590849AD4	gz	not_checked_in_F0_file_manifest	not_found_at_expected_path	inventory_only	F1-F8	recorded_from_existing_manifest	audit_trail	not_planned	standard	download_status=complete; read_status=gzip_read_ok; audit_decision=metadata_available; metadata only supports metadata reconnaissance only
